"Type of SLM Activity";"Coordinate";"_Coordinate_latitude";"_Coordinate_longitude";"_Coordinate_altitude";"_Coordinate_precision";"_uuid"
"Stone Bund";"";"";"";"";"";"d9991330-7b1e-44bd-8b37-30cbc16973d1"
"Stone Bund";"";"";"";"";"";"5ec5309f-b7b1-47df-a40b-7c3e61415bb5"
"Stone Bund";"";"";"";"";"";"5fb73d40-6540-4697-a03f-8a764eb08e86"
"Stone Bund";"";"";"";"";"";"47650978-2edc-4301-97cb-6dcf3e28d025"
"Stone Bund";"";"";"";"";"";"3ba255cc-3d25-414a-879c-b2e93e332749"
"Stone Bund";"-21.3597926 28.9654468 791.92529296875 4.288";"-21.3597926";"28.9654468";"791.92529296875";"4.288";"f597f4b2-30e8-4532-85ae-17d7b970dfed"
"Stone Bund";"-21.2608261 29.038405 830.6083984375 4.288";"-21.2608261";"29.038405";"830.6083984375";"4.288";"f1370c7a-ef7b-4538-8465-67c5bd9d1337"
"Stone Bund";"-21.2606587 29.0385391 873.6412353515625 4.556";"-21.2606587";"29.0385391";"873.6412353515625";"4.556";"be2a202a-2899-4be6-9cb5-31cff7f56159"
"Silt Trap";"-21.2728772 29.0540477 864.331298828125 4.645";"-21.2728772";"29.0540477";"864.331298828125";"4.645";"31b51161-e960-42d3-a0e8-06e9b7e4e285"
"Silt Trap";"-21.2725993 29.0542091 883.65771484375 4.716";"-21.2725993";"29.0542091";"883.65771484375";"4.716";"55f805db-d353-4996-a753-f3df62089ae7"
"Silt Trap";"-21.2723553 29.0542536 883.429931640625 4.645";"-21.2723553";"29.0542536";"883.429931640625";"4.645";"1a97afda-22d4-45b9-a2d1-72bdb5b848bf"
"Silt Trap";"-21.2719506 29.0540838 896.3011474609375 4.931";"-21.2719506";"29.0540838";"896.3011474609375";"4.931";"5c221992-c820-49d4-bdd6-aae8041de6cf"
"Stone Bund";"-21.2625094 29.0420446 879.501708984375 4.931";"-21.2625094";"29.0420446";"879.501708984375";"4.931";"2b7d11f8-ffc2-4351-a9d0-81fa421adfd9"
"Stone Bund";"-21.2623988 29.0419191 884.6954345703125 4.931";"-21.2623988";"29.0419191";"884.6954345703125";"4.931";"408de5a3-b1a5-4e6b-9a32-06745bc7356b"
"Silt Trap";"-21.2717213 29.0540641 884.198486328125 4.288";"-21.2717213";"29.0540641";"884.198486328125";"4.288";"eb8b206c-505d-4ef2-bbea-cb281d7dc979"
"Silt Trap";"-21.4420224 29.0438337 809.830078125 4.502";"-21.4420224";"29.0438337";"809.830078125";"4.502";"34324a93-4e04-49e3-807d-024ffcfbaac2"
"Silt Trap";"-21.4420559 29.043677 801.827392578125 3.216";"-21.4420559";"29.043677";"801.827392578125";"3.216";"919a2a88-c49f-46d0-851d-70b5071a7399"
"Silt Trap";"-21.4420616 29.043665 800.934326171875 4.288";"-21.4420616";"29.043665";"800.934326171875";"4.288";"23874a4c-ad01-44a6-a2fc-a7cf0a51ca40"
"Silt Trap";"-21.4174642 28.9869015 800.934326171875 4.288";"-21.4174642";"28.9869015";"800.934326171875";"4.288";"8e7b0c45-05cf-45a1-aff7-ee6a64291735"
"Silt Trap";"-21.4175578 28.9866554 812.198974609375 4.645";"-21.4175578";"28.9866554";"812.198974609375";"4.645";"0500d3da-a11d-4464-ad1a-25ab56c342a6"
"Silt Trap";"-21.4421654 29.0437581 790.008 1.757";"-21.4421654";"29.0437581";"790.008";"1.757";"367ac0ef-728e-4fe0-8084-bcd50c785a02"
"Silt Trap";"-21.4416858 29.0433423 824.846 1.9";"-21.4416858";"29.0433423";"824.846";"1.9";"93746472-a612-44f9-abe4-b614287e4d13"
"Silt Trap";"-21.4415989 29.0436846 779.323 1.837";"-21.4415989";"29.0436846";"779.323";"1.837";"1704e7b5-91a5-490a-83ab-52ad68896c6c"
"Silt Trap";"-21.2958227 29.0558135 876.27783203125 3.216";"-21.2958227";"29.0558135";"876.27783203125";"3.216";"cb93e8c1-8513-4928-8af2-be1e5fbaa9bd"
"Silt Trap";"-21.2959461 29.0558503 873.11376953125 4.645";"-21.2959461";"29.0558503";"873.11376953125";"4.645";"df45429d-3430-4278-b99d-dbfe6e5b7dbb"
"Silt Trap";"-21.2961436 29.0557404 876.864501953125 4.716";"-21.2961436";"29.0557404";"876.864501953125";"4.716";"47cb856a-aa5c-465e-96ee-cf0cc974f63c"
"Stone Bund";"-21.2962376 29.0557773 869.6163330078125 4.556";"-21.2962376";"29.0557773";"869.6163330078125";"4.556";"616a115f-f4fa-43f6-9edf-2af1cc1b1abc"
"Silt Trap";"-21.2965072 29.055747 879.71533203125 3.859";"-21.2965072";"29.055747";"879.71533203125";"3.859";"3ce956ae-1884-4098-a58b-d1092f7ccd37"
"Silt Trap";"-21.2968116 29.0553365 876.776611328125 3.93";"-21.2968116";"29.0553365";"876.776611328125";"3.93";"24b20b3d-6b8a-44a4-a3a8-fcb79e46e231"
"Silt Trap";"-21.342091 28.9701339 797.31494140625 3.752";"-21.342091";"28.9701339";"797.31494140625";"3.752";"1ce2e571-ed3b-4d7c-b758-69979e85940e"
"Stone Bund";"-21.3419628 28.9706904 806.4208984375 4.824";"-21.3419628";"28.9706904";"806.4208984375";"4.824";"6df0aea1-8120-41d5-bae1-e1601a5fb332"
"Silt Trap";"-21.3420969 28.9711268 787.153076171875 3.216";"-21.3420969";"28.9711268";"787.153076171875";"3.216";"dd2841dd-de9f-4563-b55a-08cf697b8b95"
"Stone Bund";"-21.3420268 28.9714621 801.142578125 4.931";"-21.3420268";"28.9714621";"801.142578125";"4.931";"a9da4690-a509-4559-96c5-9b815fb9c27c"
"Silt Trap";"-21.3419942 28.9717659 807.888916015625 4.073";"-21.3419942";"28.9717659";"807.888916015625";"4.073";"9c7f2762-38d8-4ad7-b429-770399bed331"
"Silt Trap";"-21.3420299 28.971907 805.0616455078125 4.556";"-21.3420299";"28.971907";"805.0616455078125";"4.556";"90054b68-b3a6-4f25-abc7-0750e48ce4a3"
"Silt Trap";"-21.3420065 28.9719389 807.7607421875 3.644";"-21.3420065";"28.9719389";"807.7607421875";"3.644";"644fc70b-59de-4f5f-beae-cb4a1d8c2031"
"Silt Trap";"-21.3420043 28.9720196 796.72021484375 4.824";"-21.3420043";"28.9720196";"796.72021484375";"4.824";"8233388e-8d2f-4bf5-94fc-e6ee91fa5958"
"Silt Trap";"-21.3420114 28.972207 803.458984375 3.43";"-21.3420114";"28.972207";"803.458984375";"3.43";"fe99cade-f982-416a-a389-1a1811d8b882"
"Silt Trap";"-21.341936 28.972488 809.886474609375 4.288";"-21.341936";"28.972488";"809.886474609375";"4.288";"6f7e6831-6b2d-42d1-be60-568a9cf129e4"
"Silt Trap";"-21.3419501 28.9725263 805.56689453125 3.752";"-21.3419501";"28.9725263";"805.56689453125";"3.752";"9dea8b12-b468-45a1-ac52-d953f04e79a0"
"Silt Trap";"-21.3432004 28.9719675 798.212158203125 3.216";"-21.3432004";"28.9719675";"798.212158203125";"3.216";"92baf9fd-35c9-4090-a716-715e70d35e7b"
"Silt Trap";"-21.3432 28.9719749 802.765625 4.645";"-21.3432";"28.9719749";"802.765625";"4.645";"392f9025-5cda-4474-8792-f8419fc64756"
"Dead Level Contour";"-21.3434599 28.9720586 801.9420166015625 3.216";"-21.3434599";"28.9720586";"801.9420166015625";"3.216";"ac9bb318-dd40-4b02-9467-17f7104c081b"
"Silt Trap";"-21.3550741 28.9630816 786.416015625 4.645";"-21.3550741";"28.9630816";"786.416015625";"4.645";"f87bb2fe-c25a-4aa6-bb75-e1c988f6d462"
"Dead Level Contour";"-21.3412885 28.9764875 791.785888671875 4.288";"-21.3412885";"28.9764875";"791.785888671875";"4.288";"3bb692b0-04d5-4ac5-8e13-6bd7113f82ee"
"Dead Level Contour";"-21.3411236 28.9769226 815.572998046875 3.859";"-21.3411236";"28.9769226";"815.572998046875";"3.859";"bd0f32b5-707b-4eba-939c-bba694e6197f"
"Dead Level Contour";"-21.3407249 28.9771705 811.6572265625 3.216";"-21.3407249";"28.9771705";"811.6572265625";"3.216";"6664b1d3-aa30-4f3b-b1ee-6e69204291ed"
"Dead Level Contour";"-21.3403772 28.9771199 816.69580078125 4.824";"-21.3403772";"28.9771199";"816.69580078125";"4.824";"a4b333d2-21a3-4b8e-a4d0-dfe80d82a4fd"
"Dead Level Contour";"-21.3399659 28.9771432 814.05517578125 4.716";"-21.3399659";"28.9771432";"814.05517578125";"4.716";"95b5f719-98eb-488d-a434-e830f474f5a9"
"Dead Level Contour";"-21.343136 28.9704412 817.0361328125 4.645";"-21.343136";"28.9704412";"817.0361328125";"4.645";"1ac35afa-cf7f-4301-ac11-0cc7a6418473"
"Dead Level Contour";"-21.3429099 28.9704171 803.9541015625 3.644";"-21.3429099";"28.9704171";"803.9541015625";"3.644";"65668b2e-329c-46ec-8cc9-f84972126800"
"Dead Level Contour";"-21.3433058 28.9684784 799.360595703125 4.824";"-21.3433058";"28.9684784";"799.360595703125";"4.824";"c0c75f91-1fe0-438d-aace-fa66d42c555e"
"Dead Level Contour";"-21.3436683 28.9691289 821.6529541015625 4.716";"-21.3436683";"28.9691289";"821.6529541015625";"4.716";"1dfc91b7-c71f-4cdd-aee6-861d9ba6644a"
"Stone Bund";"-21.3420684 28.9703583 1034.5 4.4";"-21.3420684";"28.9703583";"1034.5";"4.4";"1fb7fe0c-bccd-4489-8693-31cfba7fdb99"
"Silt Trap";"-21.3420354 28.9710115 775.6 3.85";"-21.3420354";"28.9710115";"775.6";"3.85";"5b9df9b4-d47e-4baf-a305-c3c9778070b8"
"Silt Trap";"-21.3419382 28.9712684 777.1 4.0";"-21.3419382";"28.9712684";"777.1";"4.0";"3c2ee161-a8e0-4a26-8425-19c7ec9450d5"
"Silt Trap";"-21.3418209 28.9712231 776.4 4.133";"-21.3418209";"28.9712231";"776.4";"4.133";"77b7116c-7f41-4f2b-bced-ee2f4dd5b551"
"Stone Bund";"-21.3420487 28.9712492 776.0 4.4";"-21.3420487";"28.9712492";"776.0";"4.4";"99f71802-8452-4eee-a834-8bb0606b8fe2"
"Silt Trap";"-21.3419238 28.9717379 776.1 4.625";"-21.3419238";"28.9717379";"776.1";"4.625";"fcc98043-595c-4666-99be-7dbd44afa35a"
"Silt Trap";"-21.3419275 28.9717177 776.1 3.75";"-21.3419275";"28.9717177";"776.1";"3.75";"f0c2193f-3805-4085-a295-d9befde9d70e"
"Silt Trap";"-21.3417563 28.9721034 778.8 3.25";"-21.3417563";"28.9721034";"778.8";"3.25";"2e007d4e-5cab-49eb-94b9-cca079a3e106"
"Silt Trap";"-21.3419174 28.9721106 779.6 3.3";"-21.3419174";"28.9721106";"779.6";"3.3";"74589b52-21ac-46ae-b908-0dae289b4a07"
"Silt Trap";"-21.3419408 28.9722485 777.6 4.033";"-21.3419408";"28.9722485";"777.6";"4.033";"ebbcbcf2-58d4-436c-ad4d-b5011e416fb9"
"Silt Trap";"-21.3418893 28.9723547 777.6 4.05";"-21.3418893";"28.9723547";"777.6";"4.05";"465efa6d-fd2b-4d1e-8004-61e554e5d8c7"
"Silt Trap";"-21.3434867 28.9718267 778.5 4.9";"-21.3434867";"28.9718267";"778.5";"4.9";"57c08345-8347-4224-a03e-12643d7989ab"
"Silt Trap";"-21.343689 28.971285 776.3 3.94";"-21.343689";"28.971285";"776.3";"3.94";"7aaba20e-0c45-4c58-87da-af916e153b27"
"Stone Bund";"-21.4166721 28.9595768 754.2 4.95";"-21.4166721";"28.9595768";"754.2";"4.95";"b5281ad5-d6ed-4b7a-96bb-5103f8d5c529"
"Silt Trap";"-21.4163978 28.9564517 759.9 4.76";"-21.4163978";"28.9564517";"759.9";"4.76";"58f3e22a-91ce-447e-9c56-f0ca3111d2c2"
"Silt Trap";"-21.4162121 28.9564777 757.8 4.233";"-21.4162121";"28.9564777";"757.8";"4.233";"998c53ca-e1d7-468b-b298-2a4d4e0f0fdc"
"Silt Trap";"-21.4162409 28.9564527 757.7 4.983";"-21.4162409";"28.9564527";"757.7";"4.983";"365513fd-b3bf-4f0d-94b8-0f8762ca9f1f"
"Silt Trap";"-21.4161629 28.956558 758.2 4.96";"-21.4161629";"28.956558";"758.2";"4.96";"d0d837bd-e419-4725-a1ed-41afc02a8fac"
"Dead Level Contour";"-21.3428237 28.9708083 796.6 4.916";"-21.3428237";"28.9708083";"796.6";"4.916";"7ed7f550-8835-43f8-aab9-242046cbc311"
"Dead Level Contour";"-21.3430841 28.9686135 797.1 5.0";"-21.3430841";"28.9686135";"797.1";"5.0";"22e76890-fed4-4881-a8cf-43b353c5c566"
"Stone Bund";"-21.3402201 29.112502 0 0";"-21.3402201";"29.112502";"0";"0";"b53a1f66-1696-45ec-b652-92500d337a5f"
"Stone Bund";"-21.3392138 29.099277 0 0";"-21.3392138";"29.099277";"0";"0";"a8856865-26aa-481a-9932-461585e8177c"
